retailer_id,product_brand,review_title,author_id,review_date,mark,review_txt,product,product_id
Folie_FR,Natural Honey,,Isabelle G.,18/10/2015,5," ""Très bien prix très intéressant""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,David D.,11/7/2015,5, parfait,Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,Jennifer C.,7/4/2015,5," ""je recommande""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,David D.,24/06/2014,4, super,Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,Marie-thérèse S.,25/03/2014,5," ""très bien""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,David B.,19/12/2013,3, bien,Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,ANNICK C.,5/12/2013,5," ""bonne odeur""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,PATRICIA P.,18/10/2013,5, :-),Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,Michel T.,13/10/2013,5," "" """,Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,"CHRISTINE"" ""MARIE R.",16/09/2013,4," ""Tres apprecie piur son parfum""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,Guylaine B.,15/09/2013,4," ""bien """,Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,Marie-thérèse S.,28/08/2013,5," ""très bien""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Natural Honey,,Marie-thérèse S.,10/8/2013,5," ""très bien""",Gel douche Coco Addiction 650ml,FOL2327
Folie_FR,Neutrogena,,Ducobu L.,31/07/2016,5," ""Ttes bon produit""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Neutrogena,,Cath P.,28/12/2015,5," ""très bien produit impeccable à un très bon prix""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Neutrogena,,Hélène R.,19/06/2015,3," ""Je n'aime pas trop la texture ""gel"" de cette crème pour les mains cependant elle est efficace et soigne très bien les mains.""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Neutrogena,,"Dominique "".",22/03/2015,5," ""crème idéale pour mains très sèches""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Neutrogena,,FRANCOISE A.,17/03/2014,5," ""excellent produit""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Neutrogena,,Myriam C.,24/02/2014,5," ""excellent produit""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Neutrogena,,Yolaine P.,22/12/2013,5," ""C est un produit que je connais il est excellent pour se proteger des attaques de l hiver""",Crème mains formule Norvégienne,FOL2684
Folie_FR,Byphasse,,Françoise D.,28/05/2018,4, un lait toujours super,Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,"claude"" ""Marie F.",15/10/2016,4," ""J'adore utiliser ce lait.""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Fabienne F.,29/07/2016,3," ""parfum pas très agréable et texture épaisse difficile à étaler""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Marc C.,6/2/2016,4, bien,Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,"Vanessa "".",31/01/2016,5, Bien,Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Charline D.,13/12/2015,5," ""parfait donne la peau douce""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Valérie M.,5/12/2015,4," ""effet tenseur non vérifié mais j'alterne avec l huile corporelle byphase et cela me convient j ai l impression que hydrate plus en profondeur laisse une peau douce""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Laurie J.,20/11/2015,4," ""pour l instant je ne peut pas encore voire l effet, mais bonne odeur, pénétre bien""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Marie-france M.,26/06/2015,4," ""bonne transaction, bon rapport qualité - prix""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,"Severine "".",10/4/2015,4," ""tres bien""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Sabine F.,22/12/2014,1," ""Parfum bof""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Marie-josé F.,6/6/2014,5," ""très bien""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Byphasse,,Blandine B.,2/5/2014,5," ""bon produit mais le bémol c'est que à la reception de ma commande je ne sais trop par quel moyen la bouteille était ouverte du coup je n'ai reçu que la moitié du contenu et le reste tout étalé sur les autres produits donc je vous laisse imaginer""",Lait Corporel Effet Tenseur,FOL2761
Folie_FR,Dove,,Laura C.,16/07/2017,3, bien,Go Fresh Déodorant roll,FOL3163
Folie_FR,Dove,,Samantha B.,1/5/2017,5," ""Produit conforme""",Go Fresh Déodorant roll,FOL3163
Folie_FR,Dove,,Sabine F.,22/12/2014,2," ""Bien Ok""",Go Fresh Déodorant roll,FOL3163
Folie_FR,Dove,,Francoise A.,2/12/2016,5, bien,Silk Dry Déodorant Roll,FOL3162
Folie_FR,Dove,,Nacera R.,22/08/2018,5, Très bien comme site et rapide,Invisible dry Déodorant Roll,FOL3164
Folie_FR,Dove,,Isabelle L.,26/07/2016,5," ""Tient bien et odeur agréable""",Silk Dry Déodorant Roll,FOL3162
Folie_FR,Dove,,Sharmily S.,1/11/2015,5," ""Parfum doux""",Silk Dry Déodorant Roll,FOL3162
Folie_FR,Dove,,Sabine F.,22/12/2014,5," ""Ok bien""",Silk Dry Déodorant Roll,FOL3162
Folie_FR,Dove,,Claudia L.,11/12/2014,5," ""Tres bien""",Silk Dry Déodorant Roll,FOL3162
Folie_FR,Dove,,Sabine F.,22/12/2014,5," ""Ok bien""",Invisible dry Déodorant Roll,FOL3164
Folie_FR,Dove,,Claudia L.,11/12/2014,4," ""Tres bien""",Invisible dry Déodorant Roll,FOL3164
Folie_FR,Calliderm,,Patricia R.,22/11/2018,4, masque efficace,Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Océane M.,27/01/2017,5, Très bien,Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Léa M.,26/11/2016,5," ""Grand contenant, super produit""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Maéva L.,13/11/2016,5," ""Parfait !""",Masque purifiant visage à l'argile et aux plantes,FOL3184
